game,experiment,model_pretty,acronym,main_score,played_rate
hot_air_balloon,air_balloon_survival_en_complexity_easy,Claude Sonnet 4,CS4,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,Claude Sonnet 4 (reasoning),CS4R,48.79793558502646,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,DeepSeek Chat v3.1 (reasoning),DS3R,95.88279712626421,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,83.59574051087738,0.16666666666666666
hot_air_balloon,air_balloon_survival_en_complexity_easy,GPT-5,G5,96.94268054283862,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,GPT-5 (reasoning),G5R,99.90523877319049,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,GPT-5 Mini,G5m,98.89354246239819,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,GPT-5 Mini (reasoning),G5mR,100.0,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,GPT-OSS 120B (reasoning),O120R,98.92729158363024,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,LLaMA-3.3-70B Instruct,L70,34.04733113830325,0.6666666666666666
hot_air_balloon,air_balloon_survival_en_complexity_easy,Nemotron-Nano 9B v2,NN9,42.55849425444529,0.6666666666666666
hot_air_balloon,air_balloon_survival_en_complexity_easy,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,Qwen3-Next-80B (reasoning),Q80R,95.99065739608965,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,Claude Sonnet 4,CS4,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,Claude Sonnet 4 (reasoning),CS4R,74.03124726088859,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,DeepSeek Chat v3.1 (reasoning),DS3R,96.03116593061632,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,GPT-5,G5,78.71502635853263,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,GPT-5 (reasoning),G5R,99.98738915274292,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,GPT-5 Mini,G5m,96.392788109768,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,GPT-5 Mini (reasoning),G5mR,99.94680950751388,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,GPT-OSS 120B (reasoning),O120R,98.70656952554805,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,LLaMA-3.3-70B Instruct,L70,38.14017624137775,0.8333333333333334
hot_air_balloon,air_balloon_survival_en_complexity_hard,Nemotron-Nano 9B v2,NN9,0.0,0.3333333333333333
hot_air_balloon,air_balloon_survival_en_complexity_hard,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.3333333333333333
hot_air_balloon,air_balloon_survival_en_complexity_hard,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,Qwen3-Next-80B (reasoning),Q80R,91.36011965096253,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,Claude Sonnet 4,CS4,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,Claude Sonnet 4 (reasoning),CS4R,97.72246571331976,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,DeepSeek Chat v3.1 (reasoning),DS3R,98.07683955248383,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,GPT-5,G5,99.9102585675024,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,GPT-5 (reasoning),G5R,100.0,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,GPT-5 Mini,G5m,99.9130650769995,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,GPT-5 Mini (reasoning),G5mR,99.9130650769995,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,GPT-OSS 120B (reasoning),O120R,100.0,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,LLaMA-3.3-70B Instruct,L70,69.79535249946582,0.6666666666666666
hot_air_balloon,air_balloon_survival_en_negotiation_easy,Nemotron-Nano 9B v2,NN9,47.60174418425719,0.6
hot_air_balloon,air_balloon_survival_en_negotiation_easy,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,Qwen3-Next-80B (reasoning),Q80R,99.1047358537097,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,Claude Sonnet 4,CS4,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,Claude Sonnet 4 (reasoning),CS4R,81.85815295277058,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,DeepSeek Chat v3.1 (reasoning),DS3R,84.15775338319462,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,GPT-5,G5,87.26949736335033,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,GPT-5 (reasoning),G5R,92.51788491575589,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,GPT-5 Mini,G5m,89.68934247736868,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,GPT-5 Mini (reasoning),G5mR,91.6995154492651,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,GPT-OSS 120B (reasoning),O120R,83.40087832208202,0.16666666666666666
hot_air_balloon,air_balloon_survival_en_negotiation_hard,LLaMA-3.3-70B Instruct,L70,53.7542238790729,0.8333333333333334
hot_air_balloon,air_balloon_survival_en_negotiation_hard,Nemotron-Nano 9B v2,NN9,45.6396269599941,0.6
hot_air_balloon,air_balloon_survival_en_negotiation_hard,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,Qwen3-Next-80B (reasoning),Q80R,87.97917854992428,0.8333333333333334
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,Claude Sonnet 4,CS4,79.0319717965239,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,Claude Sonnet 4 (reasoning),CS4R,98.67631801930372,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,DeepSeek Chat v3.1 (reasoning),DS3R,65.78103482576674,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.16666666666666666
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,GPT-5,G5,45.41612085588957,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,GPT-5 (reasoning),G5R,100.0,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,GPT-5 Mini,G5m,43.26624835218797,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,GPT-5 Mini (reasoning),G5mR,99.99114103472715,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,GPT-OSS 120B (reasoning),O120R,99.82437013624893,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,LLaMA-3.3-70B Instruct,L70,49.64578998220599,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,Nemotron-Nano 9B v2,NN9,0.0,0.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,Nemotron-Nano 9B v2 (reasoning),NN9R,86.47344592118208,0.6666666666666666
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,Qwen3-Next-80B (reasoning),Q80R,99.79329081030004,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,Claude Sonnet 4,CS4,77.97720270965853,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,Claude Sonnet 4 (reasoning),CS4R,76.93843159440426,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,DeepSeek Chat v3.1 (reasoning),DS3R,52.90216015125497,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,GPT-5,G5,77.59397497627755,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,GPT-5 (reasoning),G5R,95.61665955415081,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,GPT-5 Mini,G5m,70.50669198769099,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,GPT-5 Mini (reasoning),G5mR,93.77632687286604,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,GPT-OSS 120B (reasoning),O120R,95.95526725471368,0.5
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,LLaMA-3.3-70B Instruct,L70,49.76619389657974,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,Nemotron-Nano 9B v2,NN9,0.0,0.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,Nemotron-Nano 9B v2 (reasoning),NN9R,56.7772100251154,0.5
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,Qwen3-Next-80B (reasoning),Q80R,86.99046371125463,0.8333333333333334
hot_air_balloon,air_balloon_survival_en_slu_easy,GPT-5 Mini (reasoning),G5mR,100.0,1.0
hot_air_balloon,air_balloon_survival_en_slu_hard,GPT-5 Mini (reasoning),G5mR,93.30860028735934,1.0
