game_language,game,model,experiment,instance,type,script,count
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_hard,00005,response,Latin,1381
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_hard,00002,response,Latin,322
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_hard,00003,response,Latin,445
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_hard,00004,response,Latin,619
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_hard,00001,response,Latin,582
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_hard,00000,response,Latin,622
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_hard,00005,response,Latin,357
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_hard,00002,response,Latin,242
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_hard,00003,response,Latin,365
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_hard,00004,response,Latin,237
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_hard,00001,response,Latin,203
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_hard,00000,response,Latin,209
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_easy,00005,response,Latin,2895
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_easy,00002,response,Latin,1940
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_easy,00003,response,Latin,566
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_easy,00001,response,Latin,4085
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_negotiation_easy,00000,response,Latin,484
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_easy,00005,response,Latin,222
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_easy,00002,response,Latin,329
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_easy,00003,response,Latin,228
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_easy,00004,response,Latin,274
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_easy,00001,response,Latin,351
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_reasoning off_easy,00000,response,Latin,197
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_hard,00005,response,Latin,2861
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_hard,00002,response,Latin,3971
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_hard,00003,response,Latin,672
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_hard,00004,response,Latin,449
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_hard,00001,response,Latin,1339
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_hard,00000,response,Latin,582
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_easy,00005,response,Latin,645
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_easy,00002,response,Latin,583
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_easy,00003,response,Latin,2203
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_easy,00004,response,Latin,643
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_easy,00001,response,Latin,751
en,hot_air_balloon,deepseek-chat-v3.1-t1.0,air_balloon_survival_en_complexity_easy,00000,response,Latin,538
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_3obj_en,00002,response,Latin,84
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_3obj_en,00001,response,Latin,513
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_3obj_en,00000,response,Latin,85
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_5obj_en,00002,response,Latin,1533
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_5obj_en,00001,response,Latin,56
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_5obj_en,00000,response,Latin,50
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_7obj_en,00002,response,Latin,75
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_7obj_en,00001,response,Latin,108
en,clean_up,deepseek-chat-v3.1-t1.0,0_easy_7obj_en,00000,response,Latin,113
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_3obj_en,00002,response,Latin,46
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_3obj_en,00001,response,Latin,74
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_3obj_en,00000,response,Latin,99
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_5obj_en,00002,response,Latin,47
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_5obj_en,00001,response,Latin,47
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_5obj_en,00000,response,Latin,215
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_7obj_en,00001,response,Latin,391
en,clean_up,deepseek-chat-v3.1-t1.0,1_medium_7obj_en,00000,response,Latin,49
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_3obj_en,00002,response,Latin,94
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_3obj_en,00001,response,Latin,129
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_3obj_en,00000,response,Latin,61
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_7obj_en,00002,response,Latin,95
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_7obj_en,00001,response,Latin,160
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_7obj_en,00000,response,Latin,99
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_5obj_en,00002,response,Latin,74
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_5obj_en,00001,response,Latin,72
en,clean_up,deepseek-chat-v3.1-t1.0,2_hard_5obj_en,00000,response,Latin,44
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00005,response,Latin,28
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00002,response,Latin,84
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00003,response,Latin,103
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00004,response,Latin,88
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00017,response,Latin,163
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00010,response,Latin,273
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00019,response,Latin,77
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00018,response,Latin,29
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00011,response,Latin,65
en,dond,deepseek-chat-v3.1-t1.0,coop_en,00016,response,Latin,332
